,result
BreastTissue,69.50_7.61
Cardio,87.80_1.60
German,76.86_2.13
Parkinsons,90.15_3.63
appendicitis,86.99_5.67
arrhythmia,81.41_4.20
australian,86.87_2.71
balance-scale,83.30_1.66
breast,95.95_2.26
bupa,72.99_5.82
dermatology,97.33_1.30
ecoli,87.54_3.08
glass,79.23_5.41
haberman,69.09_3.63
heart,83.33_4.12
ionosphere,93.22_3.19
iris,95.20_2.99
letter,96.60_0.27
libras,82.19_3.52
liver,72.87_4.27
lung,93.44_3.65
lymphography,85.75_6.39
madelon,72.47_1.83
mammographic,79.81_2.27
musk,88.55_3.42
optdigits,98.32_0.37
pendigits,99.20_0.20
pima,76.64_2.72
segment,97.15_0.74
semeion,94.15_1.48
sonar,84.15_5.02
spambase,95.28_0.86
steel,78.08_2.16
transfusion,74.73_2.35
vowel,97.27_1.32
waveform,85.30_0.84
wine,98.20_2.09
yeast,62.08_2.35
